序号,单词,音标,词性及释义
508,role,[rəʊl],n. 角色；任务
509,rule,[ru:l],n.规则
510,rush,[rʌ ʃ],v.冲；闯；匆忙；急着（做）
511,safety,['seɪftɪ],n. 安全；保险
512,satisfaction,[sæ tɪs'fækʃ(ə)n],n. 满足；满意
513,satisfied,['sætɪsfaɪd],adj. 感到满意的; v. 使满意（satisfy 的过去式）
514,satisfy,['sætɪsfaɪ],v.满意；满足
515,save,[seɪv],vt. 节省；保存；储蓄；解救
516,scared,[skeəd],adj. 害怕的
517,science,['saɪəns],n. 科学；技术
518,scientific,[saɪən'tɪfɪk],adj. 科学的；系统的
519,scientist,['saɪəntɪst],n. 科学家
520,score,[skɔː],n. 分数; v. 得分
521,screen,[skriːn],n. 屏；幕；屏风; v.放映
522,second,['sekənd],adv. num.第二
523,secret,['siːkrət],n.秘密
524,seem,[si:m],v.像是；似乎
525,sense,[sens],n.感觉
526,sensitive,['sensətɪv],adj. 灵敏的；敏感的; n. 敏感的人
527,sentence,['sent(ə)ns],n. 句子；宣判；判决; vt.判决；宣判
528,separate,['sepəreit],v.分隔；使分离
529,serious,['sɪəriəs],adj.严肃的；严重的；认真的
530,service,['sə:vis],n.服务
531,set,[set],n.一套；布景; vi. (日,月)落沉
532,several,['sevərəl],pron.几个；数个
533,shape,[ʃeɪp],n. 形状；模型；身材; v.形成；成形；
534,share,[ʃeə],v.分担；分享；分摊
535,shoot,[ʃut],v.射击
536,shout,[ʃaʊt],v.大喊
537,show,[ʃəu],n.展示；展览（会）；演出
538,shut,[ʃʌ t],vi. 关上；停止营业; n. 关闭
539,sick,[sɪk],n. 病人; adj. 生病的
540,silence,['saɪləns],n.安静
541,silent,['saɪlənt],adj.安静的；无言的
542,similar,['similə],adj.相似的
543,simple,['sɪmpəl],adj.简单的
544,since,[sɪns],prep.自从
545,situation,[sɪtjʊ'eɪʃ(ə)n],n. 情况；形势；处境
546,slow,[sləʊ],adj.慢的
547,smart,[smɑːt],adj. 聪明的；巧妙的；敏捷的
548,smell,[smel],v.闻；闻起来；; n.味道
549,social,['səʊʃ(ə)l],adj. 社会的；社交的；群居的
550,society,[sə'saɪətɪ],n. 社会；交往；社团；
551,solution,[sə'luːʃ(ə)n],n. 解决方案,解答
552,solve,[sɒ lv],v.解决；解答
553,sound,[saʊnd],n.声音; v.听起来
554,source,[sɔːs],n.来源
555,space,[speɪs],n. 空间；太空；距离
556,special,['speʃəl],adj.特别的；专门的
557,specific,[spə'sɪfɪk],adj. 特殊的；特定的
558,speed,[spiːd],n.速度
559,spend,[spend],v.花费
560,spirit,['spɪrɪt],n.精神
561,splendid,['splendɪd],adj 杰出的；优秀的
562,spread,[spred],n. v.传播；散布；展开；伸展
563,square,[skweə],n. 平方；广场；正方形; adj. 平方的；正方形的
564,stand,[stæ nd],v.站立；忍受; n. 站立；立场
565,state,[steɪt],n. 情形；国家；州; vt.陈述；规定；声明
566,stay,[stei],n.&vi.停留；逗留；呆
567,steal,[stiːl],n. &v. 偷窃
568,step,[step],n. 步；脚步；步骤；步伐; vi. 踏；踩；走
569,stick,[stɪk],n. 棍；手杖; vi. 坚持
570,still,[stɪl],adv. 仍然；更; adj. 静止的；不动的；寂静的；平静的
571,stop,[stɒ p],n. 停止；车站; vi. 停止；中止
572,straight,[streɪt],n.直线；; adj.直的;连续的
573,strange,[streindʒ],adj.奇怪的
574,stranger,['streɪn(d)ʒə],n. 陌生人；外地人
575,strength,[streŋθ],n. 力量；力气；长处
576,stress,[stres],n.压力
577,stressful,['stresfʊl],adj. 紧张的；有压力的
578,strict,[strɪkt],adj.严格的
579,study,['stʌ dɪ],n. 学习；研究；课题；书房；学问; vt. 学习
580,style,[staɪl],n.风格
581,subject,['sʌ bdʒikt],n./ adj.科目；主语
582,success,[sək'ses],n.成功
583,successful,[sək'sesful],a.成功的；有成就的
584,sudden,['sʌ d(ə)n],adj. 突然的；意外的；快速的; n. 突然发生的事
585,suddenl,['sʌ dnlɪ],adv. 忽然；突然地
586,suffer,['sʌ fə],v. 遭受；忍受；受痛苦;
587,suggest,[sə'dʒest],v.提议；建议；暗示
588,support,[sə'pɔ:t],v.支持
589,suppose,[sə'pəʊz],vt.猜想；假定；料想
590,surprise,[sə'praɪz],vt.使惊奇；使诧异
591,surprised,[sə'praɪzd],adj. 感到惊奇的；表示震惊的
592,surprising,[sə'praɪzɪŋ],adj. 令人惊讶的；出人意料的
593,survey,['sɜ:veɪ],v. & n.调查
594,system,['sistəm],n.系统
595,talent,['tæ lənt],n.天赋
596,task,[tɑːsk],n. 工作；作业；任务
597,taste,[teist],v.尝；品味；吃起来
598,tear,[teə(r)],v.撕裂；拉掉；挣开；拉伤; n.眼泪
599,technology,[tek'nɔlədʒi],n.科技
600,temperature,[temprətʃə(r)],n. 温度；体温；气温；发烧
601,tend,[tend],v. 趋向；倾向；照料；照顾
602,terrible,['terəbl],adj. 可怕的；很糟的; adv. 很；非常
603,though,[ðəʊ],adv. 可是；虽然；不过；然而; conj.虽然；尽管
604,thread,[θred],n. 线；线状物
605,throw,[θrəʊ],v.扔
606,tiredness,['taiədnis],n. 疲劳；疲倦
607,title,['taitl],n. 标题
608,touch,[tʌ tʃ],v.触摸；触动
609,tour,[tʊə],v. & n.旅游
610,tourist,['tʊərɪst],n.旅行者；观光者
611,toward(s),[tə'wɔ:d(z)],prep.朝…
612,trade,[treid],n.贸易
613,traditional,[trə'diʃən(ə)l],a.传统的
614,training,['treiniŋ],n.培训
615,translate,[træ ns'leɪt],vt. 翻译；转化
616,transportation,[ˌ træ nspɔː'teɪʃn],n.运输
617,travel,['træ vl],n.&vi.旅行
618,treat,[tri:t],v.对待；招待；治疗
619,trip,[trip],n.旅行；旅程
620,trouble,['trʌ bl],vt.使苦恼；使忧虑；使麻烦
621,true,[truː],adj.真实的；准确的
622,trust,[trʌ st],n.&v. 信任；信赖
623,truth,[truːθ],n. 真理；事实；诚实；实质
624,try,[trai],v.试；试图；努力
625,unique,[juː'niːk],adj. 独特的；稀罕的； 唯一的；独一; 无二的; n. 独一无二的人或物
626,united,[jʊ'naɪtɪd],adj. 一致的；统一的；团结的
627,university,[,ju:ni'və:siti],n.大学
628,unkind,[ʌ n'kaɪnd],adj. 不仁慈饿；不厚道的；无情的
629,unless,[ʌ n'les],conj. 除非；如果不
630,until,[ʌ n'til],conj.直到
631,unusual,[ʌ n'ju:ʒl],adj. 不寻常的；与众不同的；不平常; 的
632,use,[ju:s],v.使用；运用；利用
633,used,[juːzd],adj. 二手的；使用过的
634,useful,['ju:sfʊl],adj. 有用的；有益的；有帮助的
635,valuable,['væ ljʊəb(ə)l],adj. 有价值的；贵重的；
636,value,['væ lju:],n.价值；益处
637,view,[vju:],n.看法; 风景; 视域
638,violence,['vaɪəl(ə)ns],n.暴力；激烈
639,visit,['vizit],v.拜访；访问；参观
640,volunteer,[ˌ vɒ lən'tɪə],vt. & vi. 自动提供；资源效劳
641,wait,[weit],v.等待；等候；延缓；耽搁
642,warm,[wɔːm],adj.温暖
643,warning,['wɔ:nɪŋ],n.警告
644,waste,[weɪst],n. 浪费；废物; v.浪费；消耗；浪费；挥霍钱财
645,watch,[wɔtʃ],v.观看；注视；当心；注意
646,water,['wɔːtə],n. 水; v.浇水
647,wealth,[welθ],n.财产；财富
648,wear,[weə],v. & n.穿著；用旧；耗损
649,weather,['weðə],n.天气
650,weigh,[wei],vt. 称…的重量；重（若干）
651,weight,[weɪt],n. 重量；体重
652,whatever,[wɒ t'evə(r)],pron. adv.无论什么；不管什么
653,whether,['weðə],conj.是否
654,while,[(h)wail],conj.在…时候；和…同时
655,whole,[həʊl],adj. 完整的;全部的；所有的; n.全部;整体;整个
656,wide,[waɪd],adj. 宽的;广阔的
657,win,[wɪn],v.获胜；赢
658,wise,[waɪz],adj. 明智的；聪明的
659,without,[wið'aut],prep.没有
660,wonder,['wʌ ndə(r)],v.对…疑惑；感到惊奇；想知道
661,wonderful,['wʌ ndəful],adj.美妙的；精彩的；了不起的；太好; 了
662,worldwide,['wɜ:ldwaɪd],adi. 全世界的; adv. 遍及全球地
663,worry,['wʌ rɪ],n.&v.烦恼；担忧；发怒；困扰
664,worth,[wɜ:θ],n. 价值
665,wrong,[rɒ ŋ],adj. 错误的；不正常的；有毛病的
666,yet,[jet],adv.还；但是
